,ENTERTAINMENTRATING,FOODRATING,GROUNDSERVICERATING,OVERALLSCORE,SEATCOMFORTRATING,SERVICERATING,PURPOSE,VALUERATING,WIFIRATING,LONGDISTANCE,YEAR,AIRLINE
206,0.23,0.54,1.25,1.99,1.21,1.32,0.88,1.47,0.19,0.21,2019.13,GoAir
207,0.61,1.73,2.41,3.95,2.59,2.83,0.83,2.66,0.73,0.34,2018.12,Gol Transportes Aéreos
208,0.0,4.0,4.33,9.0,4.0,5.0,1.0,4.67,0.0,0.0,2018.33,Golden Myanmar Airlines
209,0.0,5.0,5.0,10.0,5.0,5.0,1.0,5.0,0.0,0.0,2016.0,Grand Cru Airlines
210,0.25,1.25,1.75,3.0,2.25,1.75,1.0,2.0,0.25,0.25,2022.75,Greater Bay Airlines
211,2.13,2.59,2.67,4.82,3.08,2.95,0.81,2.92,0.47,0.8,2018.85,Gulf Air
212,0.71,1.02,2.44,4.04,2.42,2.62,0.96,2.77,0.17,0.27,2018.33,HK Express
213,0.15,3.08,3.0,5.92,2.92,4.08,0.77,3.08,0.0,0.08,2016.38,HOP!
214,3.77,4.32,4.19,8.57,4.34,4.71,0.69,4.54,0.57,0.88,2017.46,Hainan Airlines
215,1.61,1.95,2.28,3.61,2.49,2.68,0.92,2.29,0.71,0.7,2019.1,Hawaiian Airlines
216,0.19,2.75,3.25,5.88,3.0,3.44,0.88,3.12,0.06,0.19,2017.56,Helvetic Airways
217,2.05,3.0,3.09,6.05,3.23,3.32,1.0,3.18,0.32,0.73,2017.64,Hi Fly
218,1.0,0.5,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,2022.0,HiSky
219,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2021.0,Himalaya Airlines
220,2.25,2.64,2.94,5.56,3.11,3.28,0.91,3.45,0.4,0.73,2017.69,Hong Kong Airlines
221,0.29,2.0,3.43,6.29,2.57,3.57,0.71,3.29,0.29,0.29,2018.29,Horizon Air
222,0.0,4.0,4.0,9.0,5.0,5.0,1.0,4.0,0.0,0.0,2019.0,Hunnu Air
223,0.74,1.17,1.58,2.16,1.53,1.79,0.81,1.61,0.44,0.45,2022.14,ITA Airways
224,1.75,1.83,2.17,3.56,2.4,2.42,0.83,2.35,0.75,0.58,2018.46,Iberia
225,0.69,1.0,2.15,3.51,1.78,2.46,0.82,2.18,0.87,0.31,2018.54,Iberia Express
226,2.19,1.77,2.17,3.75,2.52,2.81,0.92,2.47,1.06,0.79,2018.2,Icelandair
227,0.44,1.55,3.05,5.56,2.89,3.27,0.81,3.21,0.26,0.22,2019.16,IndiGo
228,0.48,0.74,1.26,1.85,1.61,1.8,0.87,1.5,0.11,0.2,2016.26,Insel Air
229,0.86,0.14,1.57,2.29,2.14,2.43,1.0,1.43,0.14,0.29,2020.57,Intercaribbean Airways
